station name,Station Name Trimmed,Clean Stop Name,Line ID,Line Name,Station ID,stop_lat,stop_lon,rail_distance_from_union_miles,Subway,University_College,University_Nm,GO Station_Line,Park and Ride_Carpool,Terminal Station,Shopping Centre,Parent Station,City
 1| 3765|Zone 93,Zone 93,Zone 93,8,GO Bus,80682,,,NA,0,0,,-1,0,0,0,Zone 93,Whitby
 1| 3775|Zone 21,Zone 21,Zone 21,8,GO Bus,80683,,,NA,0,0,,-1,0,0,0,Zone 21,Mississauga
 1| 3780|Zone 49,Zone 49,Zone 49,8,GO Bus,80684,,,NA,0,0,,-1,0,0,0,Zone 49,Georgina
 1| 3796|Zone 45,Zone 45,Zone 45,8,GO Bus,80685,,,NA,0,0,,-1,0,0,0,Zone 45,East Gwillimbury
 1| 3799|Zone 46,Zone 46,Zone 46,8,GO Bus,80686,,,NA,0,0,,-1,0,0,0,Zone 46,Keswick
 1| 3810|Zone 57,Zone 57,Zone 57,8,GO Bus,80687,,,NA,0,0,,-1,0,0,0,Zone 57,Nobleton
 1| 3812|Zone 94,Zone 94,Zone 94,8,GO Bus,80688,,,NA,0,0,,-1,0,0,0,Zone 94,Oshawa
 1| 3815|Zone 94,Zone 94,Zone 94,8,GO Bus,80689,,,NA,0,0,,-1,0,0,0,Zone 94,Oshawa
 1| 3820|Zone 62,Zone 62,Zone 62,8,GO Bus,80690,,,NA,0,0,,-1,0,0,0,Zone 62,King City
 1| 3826|Zone 11,Zone 11,Zone 11,8,GO Bus,80691,43.60129999,-79.56386109,NA,0,0,,-1,0,0,0,Zone 11,Mississauga
 1| 3841|Zone 21,Zone 21,Zone 21,8,GO Bus,80692,,,NA,0,0,,-1,0,0,0,Zone 21,Mississauga
 1| 3845|Zone 22,Zone 22,Zone 22,8,GO Bus,80693,,,NA,0,0,,-1,0,0,0,Zone 22,Mississauga
 1| 3857|Zone 66,Zone 66,Zone 66,8,GO Bus,80694,44.23987688,-79.59804449,NA,0,0,,-1,0,0,0,Zone 66,Simcoe County
 1| 3883|Zone 55,Zone 55,Zone 55,8,GO Bus,80695,,,NA,0,0,,-1,0,0,0,Zone 55,Beaverton
 1| 3888|Zone 73,Zone 73,Zone 73,8,GO Bus,80696,43.89572093,-79.26491682,NA,0,0,,-1,0,0,0,Zone 73,Markham
 1| 3894|Zone 14,Zone 14,Zone 14,8,GO Bus,80697,,,NA,0,0,,-1,0,0,0,Zone 14,Oakville
 1| 3897|Zone 13,Zone 13,Zone 13,8,GO Bus,80698,,,NA,0,0,,-1,0,0,0,Zone 13,Oakville
 1| 3900|Zone 20,Zone 20,Zone 20,8,GO Bus,80699,43.64695931,-79.64189401,NA,0,0,,-1,0,0,0,Zone 20,Mississauga
 1| 3904|Zone 32,Zone 32,Zone 32,8,GO Bus,80700,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
 1| 3908|Zone 33,Zone 33,Zone 33,8,GO Bus,80701,,,NA,0,0,,-1,0,0,0,Zone 33,Brampton
 1| 3909|Zone 31,Zone 31,Zone 31,8,GO Bus,80702,43.65470239,-79.56815685,NA,0,0,,-1,0,0,0,Zone 31,Mississauga
 1| 3910|Zone 60,Zone 60,Zone 60,8,GO Bus,80703,43.83995188,-79.36358528,NA,0,0,,-1,0,0,0,Zone 60,Richmond Hill
 1| 3911|Zone 22,Zone 22,Zone 22,8,GO Bus,80704,,,NA,0,0,,-1,0,0,0,Zone 22,Mississauga
 1| 3918|Zone 32,Zone 32,Zone 32,8,GO Bus,80705,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
 1| 3921|Zone 71,Zone 71,Zone 71,8,GO Bus,80706,43.84098524,-79.35467524,NA,0,0,,-1,0,0,0,Zone 71,Markham
 1| 3927|Zone 18,Zone 18,Zone 18,8,GO Bus,80707,,,NA,0,0,,-1,0,0,0,Zone 18,Hamilton
 1| 3932|Zone 13,Zone 13,Zone 13,8,GO Bus,80708,,,NA,0,0,,-1,0,0,0,Zone 13,Oakville
 1| 3933|Zone 21,Zone 21,Zone 21,8,GO Bus,80709,,,NA,0,0,,-1,0,0,0,Zone 21,Mississauga
 1| 3935|Zone 21,Zone 21,Zone 21,8,GO Bus,80710,,,NA,0,0,,-1,0,0,0,Zone 21,Mississauga
 1| 3938|Zone 12,Zone 12,Zone 12,8,GO Bus,80711,,,NA,0,0,,-1,0,0,0,Zone 12,Mississauga
 1| 3939|Zone 20,Zone 20,Zone 20,8,GO Bus,80712,43.64695931,-79.64189401,NA,0,0,,-1,0,0,0,Zone 20,Mississauga
 1| 3941|Zone 21,Zone 21,Zone 21,8,GO Bus,80713,,,NA,0,0,,-1,0,0,0,Zone 21,Mississauga
 1| 3946|Zone 5,Zone 5,Zone 5,8,GO Bus,80714,43.71639828,-79.50985844,NA,0,0,,-1,0,0,0,Zone 5,North York
 1| 3947|Zone 31,Zone 31,Zone 31,8,GO Bus,80715,43.65470239,-79.56815685,NA,0,0,,-1,0,0,0,Zone 31,Mississauga
 1| 3949|Zone 4,Zone 4,Zone 4,8,GO Bus,80716,43.71080617,-79.54824005,NA,0,0,,-1,0,0,0,Zone 4,Etobicoke
 1| 3956|Zone 93,Zone 93,Zone 93,8,GO Bus,80717,,,NA,0,0,,-1,0,0,0,Zone 93,Whitby
 1| 3971|Zone 91,Zone 91,Zone 91,8,GO Bus,80718,43.80345703,-79.13564086,NA,0,0,,-1,0,0,0,Zone 91,Pickering
 1| 3972|Zone 89,Zone 89,Zone 89,8,GO Bus,80719,43.78309536,-79.23208926,NA,0,0,,-1,0,0,0,Zone 89,Scarborough
 1| 3974|Zone 90,Zone 90,Zone 90,8,GO Bus,80720,43.80052802,-79.14374998,NA,0,0,,-1,0,0,0,Zone 90,Scarborough
 1| 3987|Zone 57,Zone 57,Zone 57,8,GO Bus,80721,,,NA,0,0,,-1,0,0,0,Zone 57,Nobleton
 1| 3990|Zone 4,Zone 4,Zone 4,8,GO Bus,80722,43.71080617,-79.54824005,NA,0,0,,-1,0,0,0,Zone 4,Etobicoke
 1| 3992|Zone 5,Zone 5,Zone 5,8,GO Bus,80723,43.71639828,-79.50985844,NA,0,0,,-1,0,0,0,Zone 5,North York
 1| 3993|Zone 56,Zone 56,Zone 56,8,GO Bus,80724,,,NA,0,0,,-1,0,0,0,Zone 56,Kleinburg
 1| 3995|Zone 56,Zone 56,Zone 56,8,GO Bus,80725,,,NA,0,0,,-1,0,0,0,Zone 56,Kleinburg
 1| 4002|Zone 2,Zone 2,Zone 2,8,GO Bus,80726,,,NA,0,0,,-1,0,0,0,Zone 2,Toronto
 1| 4004|Zone 4,Zone 4,Zone 4,8,GO Bus,80727,43.71080617,-79.54824005,NA,0,0,,-1,0,0,0,Zone 4,Etobicoke
